[null]
[ed, s, en]
-2029754978,somatic,somático,ADJECTIVE
-2029717388,angiopathy,angiopatía,NOUN
-2029651416,someday,algún día,ADVERB
-2029647140,somehow,de algún modo,NONE
-2029640462,someone,alguien,NONE
-2029452097,inland sea,Mar Interior,PROPOSITIOIN
-2029315969,sawtooth,,NOUN
-2029085771,asphyxiation,asfixia,NOUN
-2028671551,former Yugoslav Republic of Macedonia,Antigua República Yugoslava de Macedonia,NONE
-2028607829,dark matter,materia oscura,NOUN
-2028533954,ibuprofen,ibuprofeno,NOUN
-2028505734,declaration,declaración,NOUN
-2028362687,with all due respect,con el debido respeto,ADVERB
-2028278475,swallowtail,con alas posteriores bifurcadas,NOUN
-2028032327,Turkish delight,lokum ,NONE
-2027903050,last judgment,Juicio Final,PROPOSITIOIN
-2027789438,hypotension,hipotensión,NOUN
-2027784991,conic section,sección cónica ,NONE
-2027555083,piece of paper,papel ,NONE
-2027504137,shortfall,déficit,NOUN
-2027444501,shorthand,taquigrafía,NOUN
-2027014424,pythagorean theorem,teorema de Pitágoras,PROPOSITIOIN
-2026786122,sophist,sofista,NOUN
-2026632493,burkinabe,burkinés,ADJECTIVE
-2026496060,soprano,soprano,NOUN
-2026357900,condensed milk,leche condensada,NOUN
-2026033846,horehound,marrubio,NOUN
-2025840564,in respect of,en cuanto a,PREPOSITION
-2025747990,mountain range,cordillera,NOUN
-2025112075,sorbose,sorbosa,NOUN
-2024969777,sorghum,zahína,NOUN
-2024796306,subculture,subcultura,NOUN
-2024651879,sort of,parece que,NONE
-2024144151,in my opinion,en mi opinión,ADVERB
-2024027924,bahraini,bahreiní,ADJECTIVE
-2024022834,deodorant,desodorante,NOUN
-2024014789,deodorize,desodorizar,VERB
-2023935131,pleased to meet you,encantado ,NONE
-2023704556,preparedness,preparación,NOUN
-2023617790,popularise,popularizar,VERB
-2023617739,popularity,popularidad,NOUN
-2023558323,population,población,NOUN
-2023252554,malicious,maligno,ADJECTIVE
-2023215069,apple does not fall far from the tree,de tal palo,NONE
-2022929708,heard island and mcdonald islands,Islas Heard y McDonald,PROPOSITIOIN
-2022436525,rubber stamp,timbre de goma,NOUN
-2022425116,senescence,senectud ,NONE
-2022231082,soufflé,soufflé ,NONE
-2022049365,soulish,anímico,ADJECTIVE
-2022000284,soup up,retocar,NONE
-2021875421,give rise to,engendrar,NONE
-2021861125,soursop,guanábana ,NONE
-2021835288,dinner plate,,NOUN
-2021818883,soutane,sotana,NOUN
-2021554509,bespectacled,con gafas,NONE
-2021431518,incinerate,incinerar,VERB
-2021185081,maléku jaíka,guatuso,PROPOSITIOIN
-2021007396,clarinetist,clarinete,NOUN
-2020651736,sudanese,sudanés,ADJECTIVE
-2020605330,invention,invención,NOUN
-2020605122,inventive,inventivo,ADJECTIVE
-2020599460,inventory,inventario,NOUN
-2020518728,magnesium,magnesio,NOUN
-2020488999,magnetism,magnetismo,NOUN
-2020488790,magnetize,magnetizar,VERB
-2020144467,particle physics,física de partículas,NOUN
-2019682680,daredevil,temerario,ADJECTIVE
-2019423185,malignant,maligno,ADJECTIVE
-2019346912,phallicism,falismo,NOUN
-2019283439,plutodemocracy,democracia plutocrática,NOUN
-2019067746,summer time,,NOUN
-2018796161,amazonian antshrike,batará amazónico,NOUN
-2018657587,soybean,soja,NOUN
-2018646647,crustacean,crustáceo,NOUN
-2018359268,soylent,comidilla,NOUN
-2018179649,motion sickness,cinetosis,NOUN
-2018140840,suddenly,de repente,NONE
-2017841222,effervescent,efervescente,ADJECTIVE
-2016944963,inversely,inversamente,ADVERB
-2016783856,magnitude,magnitud,NOUN
-2016443959,continuous function,función continua,NOUN
-2016291376,moderately,moderadamente,ADVERB
-2015940020,nursemaid,niñera ,NONE
-2015892335,equilateral triangle,triángulo equilátero,NOUN
-2015814054,stavropol,Stávropol,PROPOSITIOIN
-2015372204,lezghian,,PROPOSITIOIN
-2015250386,chili con carne,chili con carne,NOUN
-2015195666,conservator,apoderado,NOUN
-2014966513,crucible,prueba de fuego,NOUN
-2014962743,crucifix,crucifijo,NOUN
-2013793992,cut to the chase,en el meollo de la cuestion,NONE
-2013597561,moon bounce,,NOUN
-2013541792,ranunculus,,NOUN
-2013142315,one's bark is worse than one's bite,perro ladrador,NONE
-2012719266,abolishment,abolición,NOUN
-2012517793,computer science,informática ,NONE
-2012353516,asthmatic,asmático,ADJECTIVE
-2012115778,mendacity,mentira,NOUN
-2011831482,spaniel,perro de aguas,NOUN
-2011831052,spanish,español,ADJECTIVE
-2011826671,spanner,llave inglesa,NOUN
-2011779744,marvellous,,ADJECTIVE
-2011710186,sparkle,brillo ,NONE
-2011703348,sparrow,gorrión,NOUN
-2011701869,spartan,espartano,ADJECTIVE
-2011687929,mineralogical,mineralógico,ADJECTIVE
-2011652860,spatial,espacial,ADJECTIVE
-2011642159,spatter,salpicar,NONE
-2011640998,spatula,espátula,NOUN
-2011599303,platinous,platinoso,ADJECTIVE
-2011415332,platitude,perogrullada,NONE
-2011044650,zero gravity,gravedad cero ,NONE
-2010949979,headphones,auriculares ,NONE
-2010890167,honour killing,crimen de honor,NOUN
-2010731283,jewel case,estuche,NOUN
-2010588927,interpolate,interpolar,VERB
-2009965491,bootblack,,NOUN
-2009711886,spiritism,espiritismo,PROPOSITIOIN
-2009700913,spiritual,espiritual,ADJECTIVE
-2009453338,nuclear,nuclear,ADJECTIVE
-2009452717,nucleus,núcleo,NOUN
-2009449414,nuclide,nucleido ,NONE
-2009389223,sphygmomanometer,esfigmomanómetro,NOUN
-2009171859,economically,económicamente,ADVERB
-2009152593,omnium-gatherum,,NOUN
-2008997847,phosphorescence,fosforescencia,NOUN
-2008795480,transferase,transferasa,NOUN
-2008522753,speaker,hablante,NOUN
-2008465223,special,especial,ADJECTIVE
-2008465092,species,especie,NOUN
-2008298336,proxenetism,proxenetismo,NOUN
-2008185170,spelunk,,NOUN
-2008009094,interpreter,intérprete,NOUN
-2007888368,spinster,solterona,NOUN
-2007728106,interest rate,interés ,NONE
-2007646010,Borgesian,borgesiano,NONE
-2007578005,groceries,comestibles,NOUN
-2007246345,I've burned myself,me quemé,NONE
-2006849836,coffeehouse,cafetería ,NONE
-2006334400,spirometer,espirómetro,NOUN
-2006285294,debauchery,libertinaje ,NONE
-2006220017,rorschach test,test de Rorschach,NOUN
-2005775928,ache for,anhelar,NONE
-2005626429,spheral,,ADJECTIVE
-2005454144,lopsided,desequilibrado ,NONE
-2005429286,seventh heaven,séptimo cielo,NOUN
-2005108799,hemstitch,vainica,NOUN
-2005072059,unemployment,desempleo ,NONE
-2004735489,mendicant,mendicante,ADJECTIVE
-2004707220,exhilaration,regocijo,NOUN
-2004703995,moderator,moderador ,NONE
-2004451068,spinach,espinaca,NOUN
-2004447909,spindle,huso,NOUN
-2004447889,spindly,ahusado ,NONE
-2004432736,izhevsk,Izhevsk,PROPOSITIOIN
-2004327164,modernism,modernismo,NOUN
-2004326955,modernize,modernizarse,VERB
-2004323678,spirits,licor,NOUN
-2003949722,hispaniola,La Española,PROPOSITIOIN
-2003767519,appointee,persona designada,NOUN
-2003391545,dragon fruit,pitahaya,NOUN
-2002870320,bail out,saltar del avión,VERB
-2002777280,spiteful,malévolo,NONE
-2002321950,spittoon,escupidera,NOUN
-2001860727,veracity,veracidad,NOUN
-2001852046,veracruz,Veracruz,PROPOSITIOIN
-2001606022,salamander,salamandra,NOUN
-2001524596,neanderthal,neandertal,NOUN
-2001502688,anabasine,anabasina,NOUN
-2001455510,splurge,ostentación,NOUN
-2001453439,camerlengo,camarlengo,NOUN
-2001145276,Archimedean solid,sólido arquimediano ,NONE
-2001137643,nullify,anular,VERB
-2001037947,Francophile,francófilo ,NONE
-2001032119,Francophone,francohablante ,NONE
-2000988063,fleetingly,fugazmente,ADVERB
-2000986570,verbatim,literally,ADJECTIVE
-2000781509,theta wave,onda theta,NOUN
-2000766571,verbiage,verborrea,NOUN
-2000575076,welsh onion,cebolleta,NOUN
-2000515510,numbers,los Números,PROPOSITIOIN
-2000426787,crusader,cruzado,NOUN
-2000414178,numeral,número,NOUN
-2000391978,muckety muck,,NOUN
-2000312237,Paraguayan,paraguayano ,NONE
-2000074674,brain drain,fuga de cerebros,NOUN
-2000059023,anorectal,anorectal,ADJECTIVE
-2000025444,value added tax, impuesto sobre el valor añadido ,NONE
-1999812271,achilles,Aquiles,PROPOSITIOIN
-1999549159,transformer,transformador,NOUN
-1999048268,spoiled,,ADJECTIVE
-1999048254,spoiler,adelanto,NOUN
-1999008332,honey badger,ratel ,NONE
-1998904104,sponger,cafiche ,NONE
-1998892262,sponsor,patrocinador ,NONE
-1998738935,mason wasp,,NOUN
-1998712879,spotted,moteado,ADJECTIVE
-1998442349,good for nothing,,ADJECTIVE
-1997862295,flyblown,corrompido,NONE
-1997707642,abnegation,abnegación,NOUN
-1997587773,warehouse,almacén ,NONE
-1997205399,nuptial,nupcial,ADJECTIVE
-1997172194,parmenides,Parménides,PROPOSITIOIN
-1997054867,glucometer,glucómetro,NOUN
-1996481168,clothes maiden,,NOUN
-1995960111,construction,construcción,NOUN
-1995431187,essayist,ensayista,NOUN
-1995391452,nursery,criadero ,NONE
-1995346305,nurture,cuidado,NONE
-1995287336,apportion,distribuir,NONE
-1995047347,sepulchre,sepulcro,NOUN
-1994463108,mechanically,mecánicamente,ADVERB
-1994011026,bootstrap,lengüeta,NOUN
-1993981780,transfusion,transfusión,NOUN
-1993975774,indifference,indiferencia,NOUN
-1993954967,nutella,Nutella,PROPOSITIOIN
-1993916869,acoustically,acústicamente,ADVERB
-1993652902,contretemps,contratiempo,NOUN
-1993589079,rain cloud,nimbo,NOUN
-1993568043,Mexico,México ,NONE
-1993393002,adolescent,adolescente,ADJECTIVE
-1993311739,spur on,,VERB
-1993246398,spurdog,,NOUN
-1993177388,sputnik,sputnik,NOUN
-1993151693,grey heron,garza real europea,NOUN
-1993013347,verjuice,verjus ,NONE
-1992855828,forerunner,precursor,NOUN
-1992012396,duration,duración,NOUN
-1991676426,cryptology,criptología,NOUN
-1991671315,herodotus,Heródoto,PROPOSITIOIN
-1991651233,foreign debt,deuda externa,NOUN
-1990466185,second-hand smoke,fumador pasivo,NOUN
-1990409468,vermouth,vermú,NOUN
-1990377898,grass snake,culebra de collar,NOUN
-1990052769,Miriam,Miriam,NONE
-1989775578,not in the slightest,,ADVERB
-1989607997,baking powder,polvo de hornear ,NONE
-1989406151,spyware,programa espía,NOUN
-1989332362,excise tax,impuesto al consumo,NOUN
-1989314499,lip gloss,brillo de labios ,NONE
-1988878062,puppy dog eyes,ojos de cachorro,NOUN
-1988781768,anabolism,anabolismo,NOUN
-1988612220,fish garth,cañar,NOUN
-1988604283,veronica,Verónica,PROPOSITIOIN
-1988284172,dicotyledon,dicotiledón,NOUN
-1987658367,marguerite,,NOUN
-1987496117,tableware,vajillas ,NONE
-1987300751,lithium oxide,óxido de litio,NOUN
-1987232433,gourmand,gastrónomo,NONE
-1986829744,grass widow,esposa separada temporalmente,NOUN
-1986386147,hit the gas,acelerar a fondo,NONE
-1985378816,nuisance,molestia ,NONE
-1985077568,middle kingdom,Imperio Medio,NOUN
-1984816561,Mohawk,cresta ,NONE
-1984710365,Moksha,moksha,NONE
-1984261059,vertebra,vértebra,NOUN
-1984141450,vertical,vertical,ADJECTIVE
-1983899121,decimation,,NOUN
-1983869721,devil's advocate,abogado del diablo,NOUN
-1983490875,common bean,caraota  ,NONE
-1983424434,supernatural,sobrenatural,ADJECTIVE
-1983326205,common gull,gaviota,NOUN
-1983325060,abdominal fin,,NOUN
-1983274394,denominator,denominador,NOUN
-1983198395,kamchatka,Kamchatka,PROPOSITIOIN
-1983182921,common loon,,NOUN
-1983161865,inutterable,,ADJECTIVE
-1983136864,common name,nombre común,NOUN
-1983123153,common noun,nombre común ,NONE
-1983045642,asymmetric,,ADJECTIVE
-1982950430,common time,,NOUN
-1982699653,epithelial,epitelial,ADJECTIVE
-1982699032,epithelium,epitelio,NOUN
-1982156526,non-deterministic,,ADJECTIVE
-1981870849,grenadian,granadino,ADJECTIVE
-1980784621,aluminium foil,papel aluminio ,NONE
-1980535281,bass clarinet,clarinete bajo,NOUN
-1980477985,money laundering,lavado de dinero,NOUN
-1980283031,transgender,transgénero ,NONE
-1979940207,ochlocracy,oclocracia,NOUN
-1979708022,participator,participante,NOUN
-1979259943,stimulation,estimulación,NOUN
-1978957907,illustrate,ilustrar,VERB
-1978946485,Muscat,Mascate,NONE
-1978937595,Muslim,musulmán ,NONE
-1978872204,bank holiday,fiesta nacional,NOUN
-1978866139,bandicoot,bandicut,NOUN
-1978678171,immunosuppressant,inmunosupresor,NOUN
-1978394657,cornstarch,maicena ,NONE
-1977794375,demilitarization,,NOUN
-1977616159,quotation mark,,NOUN
-1977588909,enigmatic,enigmático,ADJECTIVE
-1977258497,cartilaginous,cartilaginoso,ADJECTIVE
-1976973112,fish stick,,NOUN
-1976726232,versatility,versatilidad,NOUN
-1976629028,foreshadow,presagiar,VERB
-1976386724,kingfisher,martín pescador,NOUN
-1975747436,acidness,,NOUN
-1975704501,acidosis,acidosis,NOUN
-1975295220,once in a blue moon,cada muerte de obispo,ADVERB
-1974697514,invaginate,invaginar,VERB
-1973896683,plausible,probable,ADJECTIVE
-1973811184,embryologic,,ADJECTIVE
-1973433372,laser beam,rayo láser,NOUN
-1973174052,endocrinology,endocrinología,NOUN
-1973066816,bandoleer,bandolera ,NONE
-1973006928,bandoneon,bandoneón,NOUN
-1973004543,slide fastener,,NOUN
-1972673844,ciliary muscle,músculo ciliar,NOUN
-1972571989,shadowbox,,NOUN
-1971950341,radioactive waste,residuo radiactivo,NOUN
-1971686609,accommodate,acomodar,VERB
-1971621256,word of honour,,NOUN
-1971554214,cash machine,,NOUN
-1970913521,convoluted,complicado,NONE
-1970862530,read-only memory,memoria de solo lectura,NOUN
-1970629135,amusement park,parque de diversiones ,NONE
-1970447562,governor,gobernador,NOUN
-1970306546,speak of the devil,hablando del rey de Roma,NONE
-1969960471,projectile,proyectil,NOUN
-1969960369,projection,proyección,NOUN
-1969890661,involuntary,involuntario,ADJECTIVE
-1969710936,bad-tempered,malhumorado,ADJECTIVE
-1969115029,harmonic function,función armónica,NOUN
-1968450708,jurisdictional,jurisdiccional,ADJECTIVE
-1968009903,biodiversity,biodiversidad,NOUN
-1967974833,anemometer,anemómetro,NOUN
-1967952537,empathize,sentir afinidad,VERB
-1967698309,derived function,función derivada ,NONE
-1967674962,pandora's box,caja de Pandora,NOUN
-1967670767,sexual intercourse,coito ,NONE
-1966857252,grand canyon,Gran Cañón,PROPOSITIOIN
-1966851537,lieutenant commander,teniente comandante,NOUN
-1966767217,acinesic,,ADJECTIVE
-1966719198,titration,valoración,NOUN
-1966111499,earache,dolor de oído,NOUN
-1966007300,eardrum,tímpano,NOUN
-1966004415,Guatemalan,guatemalteco,NONE
-1965824786,legionary,legionario,NOUN
-1965768527,bandwidth,ancho de banda,NOUN
-1965755613,earmark,reserva,NONE
-1965736770,earmuff,orejera,NOUN
-1965721938,earnest,serio,ADJECTIVE
-1965655580,earplug,tapón ,NONE
-1965626270,french polynesia,Polinesia Francesa,PROPOSITIOIN
-1965599098,earring,arete  ,NONE
-1965115995,squalor,miseria,NOUN
-1965110553,squared,al cuadrado,ADJECTIVE
-1965007519,squeaky,chirriante,ADJECTIVE
-1965003230,squeeze,apretón,NOUN
-1964997213,squelch,chapotear,VERB
-1964883705,squiffy,achispado,NONE
-1964876127,squinch,trompa,NOUN
-1964632840,altruistic,altruista,ADJECTIVE
-1964619708,eastern,oriental,ADJECTIVE
-1964265294,eatable,,ADJECTIVE
-1964219868,item of clothing,,NOUN
-1964027607,apocalyptic,apocalíptico,ADJECTIVE
-1963951055,paternal aunt,tía,NOUN
-1963585143,Cepheus,Cefeus ,NONE
-1963501277,attachment,apego ,NONE
-1963401153,indigestion,indigestión,NOUN
-1963370285,unnecessarily,innecesariamente,ADVERB
-1963154204,whopping,enorme,NONE
-1963103009,wishy-washy,bebistrajo,NONE
-1962604411,didactically,didácticamente,ADVERB
-1962359548,avaricious,avaricioso,NONE
-1962190242,legislate,legislar,VERB
-1962068637,mustard gas,gas mostaza,NOUN
-1961906004,hopelessness,desesperanza,NOUN
-1961867135,appetizing,apetitoso,NONE
-1961746767,lordship,‎El‎ Señor ,NONE
-1961582699,biochemist,bioquímico,NOUN
-1961451154,wrestler,luchador,NOUN
-1961291121,plausibility,plausibilidad,NOUN
-1960793261,microwave oven,horno de microondas,NOUN
-1960645810,abbreviation,abreviación,NOUN
-1960634194,abbreviature,abreviatura,NOUN
-1959861244,El Aaiún,El Aaiún,NONE
-1959830911,bail bond,fianza,NOUN
-1959808164,authoritatively,con autoridad,NONE
-1959779032,estimate,presupuesto,NONE
-1959510913,estivate,estivar,VERB
-1959482918,disdainfully,desdeñosamente,ADVERB
-1959288212,watered stock,acciones diluidas ,NONE
-1959031876,sufferer,sufridor,NOUN
-1958943198,orderliness,orden,NOUN
-1958660881,suffrage,sufragio,NOUN
-1958423320,excitement,entusiasmo,NOUN
-1958244256,hiv negative,VIH negativo,ADJECTIVE
-1958088908,maternal grandfather,abuelo materno,NOUN
-1957848081,foreign exchange,cambio de divisa,NOUN
-1957515900,idiomatical,,ADJECTIVE
-1957326346,egregious,flagrante,ADJECTIVE
-1957104629,anacrusis,anacrusa,NOUN
-1956755935,accomplishment,logro ,NONE
-1956549994,machiavellian,maquiavélico,ADJECTIVE
-1956007608,Sudanese,sudanés ,NONE
-1955701298,colonialism,colonialismo,NOUN
-1955513681,vestiary,,NOUN
-1954201007,estonian,estonio,ADJECTIVE
-1954060884,sickle-cell anaemia,,NOUN
-1953628719,interrobang,interrobang,NOUN
-1953479580,interrogate,interrogar,VERB
-1953317485,filling station,,NOUN
-1953234933,climate change,cambio climático,NOUN
-1952990840,confidential,confidencial,ADJECTIVE
-1952985036,testicular,testicular,ADJECTIVE
-1952648206,yellow hammer,,NOUN
-1952494610,tendovaginitis,,NOUN
-1952352242,exorcise,exorcizar,VERB
-1952352234,exorcism,exorcismo,NOUN
-1952352227,exorcist,exorcista,NOUN
-1952352025,exorcize,,VERB
-1952322381,exordium,exordio,NOUN
-1952087205,fall asleep,morir,VERB
-1952002759,girl band,,NOUN
-1951939149,proclamation,proclamación,NOUN
-1951865100,obstreperosity,escandaloso,NOUN
-1951819215,estragon,,NOUN
-1951713792,appropriateness,idoneidad ,NONE
-1951402451,estrogen,estrógeno,NOUN
-1951156581,fennicize,finlandizar,VERB
-1950664403,mediocrity,mediocridad,NOUN
-1950437281,exoteric,exotérico,ADJECTIVE
-1950239820,hypothermia,hipotermia,NOUN
-1950224414,sixteenth note,,NOUN
-1950133605,exotoxic,exotóxico,ADJECTIVE
-1950133594,exotoxin,exotoxina,NOUN
-1949818361,bakelite,baquelita,NOUN
-1949549985,nature strip,,NOUN
-1949150752,queen of hearts,dama de corazones,NOUN
-1948995589,pasargadae,Pasargada,PROPOSITIOIN
-1948855135,parochial,provinciano,ADJECTIVE
-1948438014,burn the midnight oil,hacer días y noches,VERB
-1947652528,interrupter,interruptor,NOUN
-1947573429,labrador,labrador,PROPOSITIOIN
-1947158340,goose pimple,carne de gallina ,NONE
-1946828635,analytic geometry,geometría analítica,NOUN
-1946454774,functioning,,ADJECTIVE
-1946350382,dustcart,,NOUN
-1945259395,detectable,detectable,ADJECTIVE
-1945152165,extravagant,extravagante,ADJECTIVE
-1945108121,otherness,otredad,NOUN
-1944836172,otherwise,de otra manera,ADVERB
-1944747177,dinitrogen trioxide,trióxido de dinitrógeno,NOUN
-1944376576,acrylic acid,ácido acrílico,NOUN
-1943984283,logarithm,logaritmo,NOUN
-1943627855,gagauzia,Gagauzia,PROPOSITIOIN
-1943200658,contemporaneous,contemporáneo,ADJECTIVE
-1943079967,at any rate,en todo caso,PREPOSITION
-1942858086,pooper scooper,pala de mierda de perro ,NONE
-1942792735,pyroclastic flow,flujo piroclástico,NOUN
-1941654574,Haitian,haitiano ,NONE
-1940424699,interestingly,interesantemente,ADVERB
-1940011527,Oaxaca,Oaxaca de Juárez ,NONE
-1939859490,ebonite,ebonita,NOUN
-1939730570,Classical Nahuatl,náhuatl ,NONE
-1939336545,canes venatici,Canes Venatici,PROPOSITIOIN
-1938583798,mujahideen,,NOUN
-1938093201,darth vader,Darth Vader,NOUN
-1937804031,stranglehold,dominio,NOUN
-1937168798,tiramisu,tiramisú,NOUN
-1936983458,tiraspol,Tiráspol,PROPOSITIOIN
-1936856333,infrequent,infrecuente,ADJECTIVE
-1936740359,american white birch,,NOUN
-1936502401,fall behind,atrasar,VERB
-1936420881,cornucopia,cornucopia,NOUN
-1936251744,conception,concepción,NOUN
-1936178736,play dead,hacerse el muerto,VERB
-1936133400,be born yesterday,haber nacido ayer,VERB
-1935834542,geriatrician,geriatra,NOUN
-1935769173,malleable,maleable,ADJECTIVE
-1935718728,expected,anticipado,ADJECTIVE
-1935699042,expedite,acelerar,NONE
